"","COUNTRY","count","latitude","longitude"
"1","USA",61,37.09024,-95.712891
"2","China",24,35.86166,104.195397
"3","Italy",13,41.87194,12.56738
"4","United Kingdom",9,55.378051,-3.435973
"5","South Korea",7,35.907757,127.766922
"6","Germany",6,51.165691,10.451526
"7","Canada",5,56.130366,-106.346771
"8","Finland",4,61.92411,25.748151
"9","Portugal",4,39.399872,-8.224454
"10","Australia",3,-25.274398,133.775136
"11","Iran",3,32.427908,53.688046
"12","Multiple",3,NA,NA
"13","New Zealand",3,-40.900557,174.885971
"14","Spain",3,40.463667,-3.74922
"15","Taiwan",3,23.69781,120.960515
"16","Japan",2,36.204824,138.252924
"17","China ",1,NA,NA
"18","Cyprus",1,35.126413,33.429859
"19","France",1,46.227638,2.213749
"20","Georgia",1,42.315407,43.356892
"21","Greece",1,39.074208,21.824312
"22","Hungary",1,47.162494,19.503304
"23","India",1,20.593684,78.96288
"24","Iraq",1,33.223191,43.679291
"25","Ireland",1,53.41291,-8.24389
"26","Oman",1,21.512583,55.923255
"27","Qatar",1,25.354826,51.183884
"28","Romania",1,45.943161,24.96676
"29","South Africa",1,-30.559482,22.937506
"30","Switzerland",1,46.818188,8.227512
"31","Turkey",1,38.963745,35.243322
"32","United Arab Emirates",1,23.424076,53.847818
