"Year","Journal","COUNTRY","Urb.scale","Year.start","Year.end","Comparator","Forest_Comp1","Forest_Comp2","Forest_Comp3","Forest_Comp4","Forest_Comp5","Rec.included","Rec1","Rec2","Rec3","journal.count"
1997,"Environmental Management","Canada","Region","1827","1990","N","Land use type","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2017,"Nature Conservation","Cyprus","Patch","N/A","N/A","N","Land use type","Composition","Forested area","N/A","N/A","Y","Management","N/A","N/A",1
2013,"Environmental Science and Pollution Research","China","Multi-Patch","2016","2016","N","Land use type","Connectivity","N/A","N/A","N/A","Y","Management","Restoration","N/A",1
2017,"New Forests","Italy","Patch","1997","2013","N","Native species","Composition","N/A","N/A","N/A","Y","Restoration","Management","N/A",1
2013,"Ecological Engineering","United States","Patch","2010","2010","N","Land use type","Native species","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2021,"Environmental Research Letters","China ","Patch","2004","2016","N","Connectivity","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2019,"Journal of Cleaner Production","China","Region","1990","2015","N","Forested area","Land use type","N/A","N/A","N/A","N","N/A","N/A","N/A",2
1995,"Tree Physiology","USA","Patch","1995","1995","N","Individual tree management","N/A","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2016,"Journal of Arid Environments","USA","Multi-Patch","2012","2013","N","Land use type","N/A","N/A","N/A","N/A","Y","Restoration","Conservation","N/A",1
2021,"Journal of Sustainability in HIgher Education","USA","Multi-Patch","2019","2020","N","Land use type","N/A","N/A","N/A","N/A","Y","Management","Conservation","N/A",1
2020,"Science of The Total Environment","USA","Region","2001","2016","N","Land use type","N/A","N/A","N/A","N/A","Y","Conservation","N/A","N/A",5
2018,"Landscape and Urban Planning","USA","Multi-Patch","2013","2015","N","Composition","N/A","Land use type","N/A","N/A","Y","Management","N/A","N/A",9
2022,"Ecological Indicators","China","Region","1989","2019","N","Diversity metric","Land use type","Fragmentation","Composition","N/A","Y","Management","N/A","N/A",3
2018,"Ecological Indicators","China","Multi-Patch","1984","2015","N","Land use type","N/A","N/A","N/A","N/A","Y","Conservation","Management","N/A",3
2008,"International Journal of Remote Sensing","USA","Multi-Patch","1971","2003","N","Land use type","N/A","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2018,"Scientific Papers - Series B, Horticulture","Romania","Patch","N/A","N/A","N","N/A","N/A","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2002,"Environmental Pollution","Australia","Multi-Patch","1911","1990","N","Forested area","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",3
2019,"Susainability","United Arab Emirates","Patch","N/A","N/A","N","Native species","Exotic/invasive species","Land use type","Forested area","N/A","Y","Management","N/A","N/A",2
2020,"People and Nature","Spain and France","Multi-City","N/A","N/A","Y","Composition","Land use type","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2011,"Global Change Biology","USA","Multi-Patch","2009","2009","N","Composition","Land use type","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2012,"Journal of Environmental Management","China","Multi-Patch","1972","2006","N","Composition","Land use type","N/A","N/A","N/A","Y","Conservation","Management","N/A",5
2013,"Landscape and Urban Planning","China","Multi-Patch","2010","2010","N","Land use type","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",9
2018,"Forest Science and Technology","South Korea","Patch","N/A","N/A","N","Composition","Individual tree management","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2018,"Forests","China","Patch","N/A","N/A","Y","Individual tree management","N/A","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2017,"Urban Ecosystems","USA","Patch","N/A","N/A","N","Composition","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",4
2014,"The International Journalof Life Cycle Assessment","USA","Patch","N/A","N/A","N","Composition","Land use type","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2016,"Urban Ecosystems","USA","Multi-Patch","1999","2009","N","Forested area","Native species","Land use type","Exotic/invasive species","Composition","Y","Conservation","Management","N/A",4
2018,"Susainability","China","Patch","2016","2016","N","Composition","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",2
2012,"Landscape and Urban Planning","Germany","Patch","2009","2009","N","Individual tree management","N/A","N/A","N/A","N/A","Y","Management","N/A","N/A",9
2016,"Environmental Pollution","United Kingdom","Patch","N/A","N/A","N","Composition","N/A","N/A","N/A","N/A","Y","Management","Conservation","N/A",3
2021,"Agricultural and Forest Meteorology","Germany","Multi-Patch","2018","2019","N","Composition","Individual tree management","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2017,"Urban Forestry & Urban Greening","Finland","Patch","2004","2011","N","Composition","Individual tree management","N/A","N/A","N/A","Y","Management","N/A","N/A",16
2014,"Landscape and Urban Planning","USA","Patch","N/A","N/A","N","Individual tree management","Composition","N/A","N/A","N/A","Y","Management","Conservation","N/A",9
2012,"Journal od Geophysical Research","USA","Multi-Patch","2007","2008","N","Land use type","Composition","N/A","N/A","N/A","Y","Management","N/A","N/A",1
2013,"Landscape and Urban Planning","USA","Multi-City","2007","2008","N","Land use type","N/A","Composition","N/A","N/A","Y","Management","N/A","N/A",9
2001,"Environmental Pollution","USA","Multi-Patch","1992","1992","N","Composition","N/A","N/A","N/A","N/A","N","N/A","N/A","N/A",1
2014,"Landscape and Urban Planning","USA","Multi-Patch","2006","2009","N","Land use type","Composition","Forested area","N/A","N/A","Y","Management","N/A","N/A",9
2017,"Urban Ecosystems","New Zealand","Patch","2014","2015","N","Native species","Individual tree management","Diversity metric","Exotic/invasive species","N/A","Y","Management","N/A","N/A",4
2015,"Urban Forestry & Urban Greening","Germany","Multi-Patch","N/A","N/A","N","Individual tree management","Composition","N/A","N/A","N/A","N","N/A","N/A","N/A",3
2021,"Urban Forestry & Urban Greening","Italy","Patch","N/A","N/A","N","Native species","Land use type","Composition","Exotic/invasive species","Forested area","Y","Management","N/A","N/A",16
